city,municipality,lat,lng
Glumslöv,Landskrona kommun,55.9442238,12.8070146
Glömminge,Mörbylånga kommun,56.71666699999999,16.533333
Gnarp,Nordanstigs kommun,62.04894160000001,17.2549682
Gnesta,Gnesta kommun,59.04834830000001,17.3072276
Gnosjö,Gnosjö kommun,57.35803979999999,13.7371898
Gonäs,Ludvika kommun,60.147274,15.0963203
Granby,Sigtuna kommun,59.65000000000001,17.633333
Graversfors,Norrköpings kommun,58.692892,16.158604
Grebbestad,Tanums kommun,58.6930388,11.2549947
Grebo,Åtvidabergs kommun,58.30002329999999,15.8652639
Grevie,Båstads kommun,56.3923099,12.7826041
Grillby,Enköpings kommun,59.6267071,17.256975
Grimslöv,Alvesta kommun,56.73504,14.53985
Grimstorp,Nässjö kommun,57.5591889,14.6973679
Grimsås,Tranemo kommun,57.48403099999999,13.5543297
Gripenberg,Tranås kommun,57.9938465,14.8559784
Grisslehamn,Norrtälje kommun,60.09608100000001,18.8057521
Gropen,Lekebergs kommun,59.1631168,14.8334405
Grums,Grums kommun,59.35317870000001,13.1117319
Grundsund,Lysekils kommun,58.214729,11.4178031
Grycksbo,Falu kommun,60.6881289,15.4843016
Gryt,Valdemarsviks kommun,58.1871883,16.8020384
Grytgöl,Finspångs kommun,58.80286950000001,15.5558198
Grythyttan,Hällefors kommun,59.7054717,14.5355955
Gråbo,Lerums kommun,57.82723169999999,12.2915509
Gräddö,Norrtälje kommun,59.7624965,19.0366113
Gräfsnäs,Alingsås kommun,58.0790782,12.4954494
Grängesberg,Ludvika kommun,60.0785553,15.0110618
Grängesberg västra,Ludvika kommun,60.0785553,15.0110618
Gränna,Jönköpings kommun,58.02502339999999,14.4700948
Grännäs,Valdemarsviks kommun,58.1856455,16.612049
Gränum,Olofströms kommun,56.22868339999999,14.6037392
Grästorp,Grästorps kommun,58.3340403,12.6802177
Grödby,Nynäshamns kommun,59.05183460000001,17.8698342
Grönalid,Vansbro kommun,60.5044668,14.2366351
Grönskan Vedhamn och Baldersnäs,Värmdö kommun,59.229967,18.4845597
Gualöv,Bromölla kommun,56.0481097,14.4105596
Gudhem,Falköpings kommun,58.226777,13.5655337
Gullbrandstorp,Halmstads kommun,56.7032208,12.7340537
Gullbranna,Halmstads kommun,56.58889720000001,12.9471898
Gulleråsen,Rättviks kommun,61.06393,15.18518
Gullringen,Vimmerby kommun,57.80093300000001,15.7170742
Gullspång,Gullspångs kommun,58.985467,14.096623
Gunnarskog,Arvika kommun,59.8173955,12.5654229
Gunnarstorp,Bjuvs kommun,56.0992987,12.9232654
Gunnebo,Västerviks kommun,57.7208206,16.5261402
Gunsta,Uppsala kommun,59.85541190000001,17.8325653
Gusselby,Lindesbergs kommun,59.64038349999999,15.2243122
Gustavsberg,Värmdö kommun,59.314449,18.3985281
Gusum,Valdemarsviks kommun,58.2676586,16.5003028
Gyttorp,Nora kommun,59.50878719999999,14.9651045
Gånghester,Borås kommun,57.6993996,13.0232929
Gårdby,Mörbylånga kommun,56.60156199999999,16.6403428
Gårdskär,Älvkarleby kommun,60.60955730000001,17.5770332
Gårdstånga,Eslövs kommun,55.7651535,13.3221766
Gåvsta,Uppsala kommun,59.9427274,17.8761665
Gäddede,Strömsunds kommun,64.5028973,14.1461121
Gällivare,Gällivare kommun,67.1379,20.6593618
Gällstad,Ulricehamns kommun,57.66859969999999,13.4328388
Gällö,Bräcke kommun,62.9141997,15.2335794
Gängletorp,Karlskrona kommun,56.1609317,15.7334187
Gärds Köpinge,Kristianstads kommun,55.94748509999999,14.1567935
Gärsnäs,Simrishamns kommun,55.55091470000001,14.1756804
Gävle,Gävle kommun,60.6748796,17.1412726
Göta,Lilla Edets kommun,58.10751999999999,12.1633099
Göteborg,Göteborgs kommun,57.74079,11.94655
Götene,Götene kommun,58.528002,13.491428
Götlunda,Arboga kommun,59.3543445,15.6659731
Habo,Habo kommun,57.90930939999999,14.0743665
Hackås,Bergs kommun,62.92558229999999,14.5160635
